Time,Alt,Eta,Mass,rLSx,rLSy,rLSz,vLSx,vLSy,vLSz
0.00000000000000000000,15000.00000000069849193096,1.00000000000000000000,20000.00000000000000000000,-44968.47010648297145962715,-455862.98110910697141662240,-28350.74291757102400879376,453.05579571627112045462,1627.58316150576365544111,84.22046295658049075428,
16.04227508098463417241,15046.86532429768703877926,0.99999999999999988898,19649.22854180721697048284,-38363.75975535390898585320,-430687.24544292641803622246,-27049.71465890624313033186,421.48590755728372414524,1582.36658908737263118383,82.13847938354318500842,
32.08455016196926834482,15170.15577812818810343742,1.00000000000000000000,19298.45708361443394096568,-32248.65327835339121520519,-406229.57087036670418456197,-25781.70340273067267844453,390.45148091877052820564,1535.76664385888739161601,79.99866871255828471021,
48.12682524295389896452,15349.98365120124071836472,0.99999999999999988898,18947.68562542165091144852,-26612.30141975823789834976,-382512.00982743495842441916,-24547.16502186585057643242,360.26885756066519661545,1487.73028646974489674903,77.85839392375802958668,
64.16910032393853668964,15569.51955912122502923012,1.00000000000000000000,18596.91416722886788193136,-21441.09420886589214205742,-359557.11555184441385790706,-23345.69827023904508678243,330.97470083230194859425,1438.24652011948819563258,75.76988949639373061018,
80.21137540492317441476,15813.20497781573794782162,1.00000000000000000000,18246.14270903608485241421,-16720.50528082624077796936,-337387.59382590517634525895,-22177.03285871560001396574,302.64952420824567980162,1387.30683614644999579468,73.66417584185910527594,
96.25365048590779792903,16066.35483981482684612274,0.96750498850810873197,17901.07041212767944671214,-12434.23030009795911610126,-316018.90893957484513521194,-21041.64878728012627107091,275.44015849071968204953,1335.84569312920393713284,71.51429512068132510194,
112.29592556689243565415,16314.17494237166829407215,0.93247945827716216538,17567.84025466179446084425,-8564.26229496975429356098,-295450.89919357502367347479,-19939.14620207955886144191,249.41748432962941706137,1284.92668520163647372101,69.45970969325531996219,
128.33820064787707337928,16542.51866144174709916115,0.89982697294953817302,17246.47985529884317656979,-5092.07456603413447737694,-275674.21636306325672194362,-18867.59077578352662385441,224.57707723823412493402,1234.66087425051364334649,67.55716614686194532169,
144.38047572886171110440,16738.78077887953259050846,0.86912622358904290110,16936.23070918904340942390,-1999.43619707925245165825,-256678.76963466184679418802,-17825.23164878997340565547,200.88554071222677066544,1185.03215116533215223171,65.72645836671416930130,
160.42275080984634882952,16891.74760833894833922386,0.83998091931531415621,16636.47770682395275798626,731.36015851097181439400,-238454.58973499041167087853,-16811.56354909473884617910,178.30932383764923088165,1136.04108406899717920169,63.88852257112252885918,
176.46502589083098655465,16991.68477012822404503822,0.81223877327632920675,16346.70195140654504939448,3117.71916526346467435360,-220991.64263898602803237736,-15826.37353648882526613306,156.84327439421048211443,1087.69538445948387561657,62.08504288047673469464,
192.50730097181559585806,17030.56176385772414505482,0.78632766272180798506,16066.33621151591432862915,5177.05549633270129561424,-204279.87840566539671272039,-14868.60137774750728567597,136.49382437807318524392,1039.98937596314362963312,60.38267622792744049320,
208.54957605280023358318,17001.99149371916428208351,0.76266582309302821674,15794.66485963723971508443,6926.76989773707464337349,-188309.57251274422742426395,-13936.82640510238161368761,117.25276096774609868589,992.88712455025950021081,58.76085345437793705514,
224.59185113378487130831,16900.87079775473102927208,0.74083787142516788204,15530.97176797137399262283,8383.94046479323878884315,-173071.62909560775733552873,-13030.42726978794053138699,99.08704051685259628357,946.34417950561635279882,57.13793696999977100859,
240.63412621476950903343,16723.07936185272410511971,0.71958272872236017648,15274.83483622023231873754,9565.14932296122424304485,-158557.28596980930888094008,-12149.52292382173618534580,81.96628835526028922231,900.36232476979796501837,55.50090412785969817833,
256.67640129575414675855,16465.57197188213467597961,0.69817236165046459018,15026.18082601180685742293,10486.73702892381697893143,-144757.22861872983048669994,-11293.96100786218812572770,65.88999041222874097912,855.01040161300511499576,53.89746942580824651259,
272.71867637673875606197,16126.73488580691628158092,0.67745658533571695425,14784.91514018397356267087,11165.24340527458116412163,-131661.03277918283129110932,-10463.12984128799507743679,50.88414034865979118649,810.36146903606118030439,52.33865052060700406855,
288.76095145772342220880,15706.77178776729851961136,0.65864982800483462544,14550.58114273850696918089,11617.77919940673746168613,-119257.63037665416777599603,-9656.77170514838689996395,36.99574710292281309876,766.42479044044341662811,50.76816963130175253127,
304.80322653870803151221,15207.85624109231866896152,0.64179571290278691897,14322.50155339958109834697,11862.16555374371819198132,-107536.18470308915129862726,-8875.33825622247968567535,24.26863801520535091072,723.16151822778488167387,49.15159859907792139211,
320.84550161969269765905,14633.84800720890052616596,0.62560417231182641196,14100.21770047336394782178,11916.71735942782834172249,-96486.19722001682384870946,-8119.34086510168162931222,12.72212005107690124817,680.56725917360006405943,47.51573015174388814330,
336.88777670067730696246,13989.69288238137960433960,0.60953790304191046712,13883.59140705243771662936,11799.74597736424766480923,-86096.79967292875517159700,-7388.98393162087904784130,2.33643484447951976790,638.69368108436503916892,45.87302307584581484434,
352.93005178166197310929,13280.93624702584929764271,0.59462975468013290481,13672.39758445153893262614,11529.12480686255730688572,-76356.50554984966584015638,-6684.70540508332669560332,-6.92466019602710680658,597.56817105258289757330,44.18115523650787679344,
368.97232686264658241271,12513.77053129579871892929,0.58214091059274930551,13466.00880334017529094126,11122.34104256215505301952,-67254.10108537640189751983,-6007.54360692129375820514,-15.07430542068366996489,557.12846662578033374302,42.40568081527826649335,
385.01460194363119171612,11695.41820708266459405422,0.57160919884757976916,13263.65749919362679065671,10596.91038943710736930370,-58779.60950258003867929801,-5358.58578672641397133702,-22.09571494068693908730,517.27865990735438117554,40.57478933465356618626,
401.05687702461585786295,10834.20806744717992842197,0.56160078996393947293,13064.90863908300343609881,9970.53818220505490899086,-50924.03668499225022969767,-4738.50779099653300363570,-27.98142720474057654201,477.98900867308537954159,38.71289627359682583574,
417.09915210560046716637,9939.08856164710596203804,0.55121350752358500014,12869.73689217121500405483,9260.71972992038354277611,-43678.22389943375310394913,-4148.11920828996517229825,-32.76575917443757646197,439.31030423608194723784,36.77848490490342925341,
433.14142718658513331320,9019.19156035850755870342,0.54075908031888186844,12678.22048370130505645648,8484.35263063875027000904,-37032.03957420974620617926,-3588.92840917985859050532,-36.49082156769059537282,401.31614949725849328388,34.72372059000502986237,
449.18370226756974261662,8084.09066764567978680134,0.53081559082488505297,12490.28157872122210392263,7658.01632136595435440540,-30974.34341346606743172742,-3062.70735447187098543509,-39.15518605299227061778,364.06192437030080100158,32.56273341617594496711,
465.22597734855440876345,7144.43765187030658125877,0.52189146594862523276,12305.65178404116886667907,6798.62620034418068826199,-25493.34405308364512166008,-2570.88304631164510283270,-40.71732251184227635576,327.57549926906563086959,30.32550223606526174080,
481.26825242953901806686,6212.10204732138663530350,0.51411727823912245494,12123.95063508912789984606,5923.59597670217044651508,-20577.14179333703577867709,-2114.83919796215332098654,-41.15504340677546935012,291.84285635827666283149,27.98758341617271128143,
497.31052751052368421369,5299.51335548213683068752,0.50723404185342013673,11944.82018915250228019431,5050.21167752915062010288,-16214.37726517210467136465,-1696.55488736695042462088,-40.50686263004591580739,256.80892286045343553269,25.49729291062933356216,
513.35280259150829351711,4418.83956624730490148067,0.50060226752571013176,11768.06008322434354340658,4194.85296822967939078808,-12394.52373776547028683126,-1318.48744531251054468157,-38.85016028969907608825,222.42230436896775813693,22.84516188533637404134,
529.39507767249290282052,3581.80832567019388079643,0.49402987619261040653,11593.61579951431303925347,3372.85904037207365036011,-9107.47337972675813944079,-983.02220094263907412824,-36.24059883649964319829,188.68083175982431498596,20.04986584931497262119,
545.43735275347751212394,2800.30890051578171551228,0.48805409894017892647,11421.37228550004510907456,2599.16582008125260472298,-6342.95137296690700168256,-692.42492105881990482885,-32.67408027683374882599,155.60802629037965516545,17.10801739926441555895,
561.47962783446223511419,2087.15365449921227991581,0.48322819590961213487,11251.02323206342953199055,1889.09479393134824931622,-4090.55502277396044519264,-449.15154244059340271633,-28.10540203847315154917,123.19671793843153295711,13.99868739803598849392,
577.52190291544684441760,1456.24983138404786586761,0.47907426481442727528,11082.24911338321908260696,1258.55279474449343979359,-2340.19845234194690419827,-255.83450283099674038567,-22.50492005891220514968,91.41356608492340285466,10.72023628610046941390,
593.56417799643145372102,922.08835785812698304653,0.47459215774023066903,10914.98963254638147191145,723.54999001813121140003,-1081.98463935181803208252,-114.98702673009422881023,-15.88906527665058554533,60.26776304256959804206,7.28954711984182424089,
609.60645307741606302443,499.16218519979156553745,0.46938149918839228159,10749.43012447345245163888,299.64391069277189671993,-305.32701149412014274276,-28.98916407639185166545,-8.29928415991969181675,29.83828737810258147078,3.70676551413557886505,
625.64872815840067232784,200.00000000000000000000,0.46313404466057234155,10585.88020592256361851469,0.00000000000000000000,0.00000000000000000000,0.00000000592339634870,0.00000001339552291313,-0.00000001931891979723,0.00000000000000000000,
